_id,Перший рівень,Другий рівень,Третій рівень,Четвертий рівень,Додатковий рівень,Категорія об’єкта,Назва об’єкта
6880,UA14000000000091971,UA14160000000061982,UA14160090000058463,UA14160090040054447,"",C,Добропілля
6881,UA14000000000091971,UA14160000000061982,UA14160090000058463,UA14160090050078392,"",C,Завидо-Борзенка
6882,UA14000000000091971,UA14160000000061982,UA14160090000058463,UA14160090060089438,"",C,Завидо-Кудашеве
6883,UA14000000000091971,UA14160000000061982,UA14160090000058463,UA14160090070031771,"",C,Зелене
6884,UA14000000000091971,UA14160000000061982,UA14160090000058463,UA14160090080022077,"",C,Кам’янка
6885,UA14000000000091971,UA14160000000061982,UA14160090000058463,UA14160090090080104,"",C,Красноподілля
6886,UA14000000000091971,UA14160000000061982,UA14160090000058463,UA14160090100076649,"",C,Лиман
6887,UA14000000000091971,UA14160000000061982,UA14160090000058463,UA14160090110011260,"",C,Матяшеве
6888,UA14000000000091971,UA14160000000061982,UA14160090000058463,UA14160090120032326,"",C,Мирне
6889,UA14000000000091971,UA14160000000061982,UA14160090000058463,UA14160090130058341,"",C,Надія
6890,UA14000000000091971,UA14160000000061982,UA14160090000058463,UA14160090140093072,"",C,Новогришине
6891,UA14000000000091971,UA14160000000061982,UA14160090000058463,UA14160090150089039,"",C,Новокриворіжжя
6892,UA14000000000091971,UA14160000000061982,UA14160090000058463,UA14160090160041578,"",C,Новомар’ївка
6893,UA14000000000091971,UA14160000000061982,UA14160090000058463,UA14160090170083866,"",C,Новоолександрівка
6894,UA14000000000091971,UA14160000000061982,UA14160090000058463,UA14160090180018727,"",C,Новофедорівка
6895,UA14000000000091971,UA14160000000061982,UA14160090000058463,UA14160090190088670,"",C,Петрівське
6897,UA14000000000091971,UA14160000000061982,UA14160090000058463,UA14160090210026013,"",C,Шилівка
6898,UA14000000000091971,UA14160000000061982,UA14160090000058463,UA14160090220097028,"",C,Юр’ївка
6899,UA14000000000091971,UA14160000000061982,UA14160110000031920,"","",H,Курахівська
6900,UA14000000000091971,UA14160000000061982,UA14160110000031920,UA14160110010020758,"",M,Курахове
6901,UA14000000000091971,UA14160000000061982,UA14160110000031920,UA14160110020099716,"",M,Гірник
6902,UA14000000000091971,UA14160000000061982,UA14160110000031920,UA14160110030099964,"",T,Гостре
6903,UA14000000000091971,UA14160000000061982,UA14160110000031920,UA14160110040033449,"",T,Іллінка
6904,UA14000000000091971,UA14160000000061982,UA14160110000031920,UA14160110050089070,"",T,Курахівка
6905,UA14000000000091971,UA14160000000061982,UA14160110000031920,UA14160110060043103,"",C,Берестки
6906,UA14000000000091971,UA14160000000061982,UA14160110000031920,UA14160110070095579,"",C,Веселий Гай
6907,UA14000000000091971,UA14160000000061982,UA14160110000031920,UA14160110080067439,"",C,Вовченка
6908,UA14000000000091971,UA14160000000061982,UA14160110000031920,UA14160110090060331,"",C,Вознесенка
6909,UA14000000000091971,UA14160000000061982,UA14160110000031920,UA14160110100017053,"",C,Ганнівка
6910,UA14000000000091971,UA14160000000061982,UA14160110000031920,UA14160110110026400,"",C,Гігант
6911,UA14000000000091971,UA14160000000061982,UA14160110000031920,UA14160110120032432,"",C,Дальнє
6912,UA14000000000091971,UA14160000000061982,UA14160110000031920,UA14160110130045062,"",C,Дачне
6913,UA14000000000091971,UA14160000000061982,UA14160110000031920,UA14160110140012697,"",C,Зеленівка
6914,UA14000000000091971,UA14160000000061982,UA14160110000031920,UA14160110150066368,"",C,Зоря
6915,UA14000000000091971,UA14160000000061982,UA14160110000031920,UA14160110160074716,"",C,Ізмайлівка
6916,UA14000000000091971,UA14160000000061982,UA14160110000031920,UA14160110170044949,"",C,Костянтинопольське
6917,UA14000000000091971,UA14160000000061982,UA14160110000031920,UA14160110180090932,"",C,Кремінна Балка
6918,UA14000000000091971,UA14160000000061982,UA14160110000031920,UA14160110190089800,"",C,Новодмитрівка
6919,UA14000000000091971,UA14160000000061982,UA14160110000031920,UA14160110200090457,"",C,Новоселидівка
6920,UA14000000000091971,UA14160000000061982,UA14160110000031920,UA14160110210026142,"",C,Сонцівка
6921,UA14000000000091971,UA14160000000061982,UA14160110000031920,UA14160110220059105,"",C,Степанівка
6922,UA14000000000091971,UA14160000000061982,UA14160110000031920,UA14160110230060440,"",C,Сухі Яли
6923,UA14000000000091971,UA14160000000061982,UA14160110000031920,UA14160110240086395,"",C,Трудове
6924,UA14000000000091971,UA14160000000061982,UA14160110000031920,UA14160110250052230,"",C,Успенівка
6925,UA14000000000091971,UA14160000000061982,UA14160110000031920,UA14160110260096084,"",C,Янтарне
6926,UA14000000000091971,UA14160000000061982,UA14160110000031920,UA14160110270017761,"",X,Острівське
6927,UA14000000000091971,UA14160000000061982,UA14160110000031920,UA14160110280090708,"",X,Старі Терни
6928,UA14000000000091971,UA14160000000061982,UA14160130000011561,"","",H,Мар’їнська
6929,UA14000000000091971,UA14160000000061982,UA14160130000011561,UA14160130010089415,"",M,Мар’їнка
6930,UA14000000000091971,UA14160000000061982,UA14160130000011561,UA14160130020025938,"",M,Красногорівка
6931,UA14000000000091971,UA14160000000061982,UA14160130000011561,UA14160130030016274,"",C,Антонівка
6932,UA14000000000091971,UA14160000000061982,UA14160130000011561,UA14160130040070658,"",C,Георгіївка
6933,UA14000000000091971,UA14160000000061982,UA14160130000011561,UA14160130050055246,"",C,Єлизаветівка
6934,UA14000000000091971,UA14160000000061982,UA14160130000011561,UA14160130060059202,"",C,Желанне Друге
6935,UA14000000000091971,UA14160000000061982,UA14160130000011561,UA14160130070038805,"",C,Желанне Перше
6936,UA14000000000091971,UA14160000000061982,UA14160130000011561,UA14160130080084867,"",C,Зоряне
6937,UA14000000000091971,UA14160000000061982,UA14160130000011561,UA14160130090058676,"",C,Іллінка
6938,UA14000000000091971,UA14160000000061982,UA14160130000011561,UA14160130100032325,"",C,Катеринівка
6939,UA14000000000091971,UA14160000000061982,UA14160130000011561,UA14160130110024680,"",C,Костянтинівка
6940,UA14000000000091971,UA14160000000061982,UA14160130000011561,UA14160130120067065,"",C,Максимільянівка
6941,UA14000000000091971,UA14160000000061982,UA14160130000011561,UA14160130130080935,"",C,Новомихайлівка
6942,UA14000000000091971,UA14160000000061982,UA14160130000011561,UA14160130140047560,"",C,Олександропіль
6943,UA14000000000091971,UA14160000000061982,UA14160130000011561,UA14160130150033001,"",C,Парасковіївка
6944,UA14000000000091971,UA14160000000061982,UA14160130000011561,UA14160130160088848,"",C,Побєда
6945,UA14000000000091971,UA14160000000061982,UA14160130000011561,UA14160130170069646,"",C,Романівка
6946,UA14000000000091971,UA14160000000061982,UA14160130000011561,UA14160130180020228,"",C,Славне
6947,UA14000000000091971,UA14160000000061982,UA14160150000038750,"","",H,Мирноградська
6948,UA14000000000091971,UA14160000000061982,UA14160150000038750,UA14160150010065527,"",M,Мирноград
6949,UA14000000000091971,UA14160000000061982,UA14160150000038750,UA14160150020097771,"",C,Красний Лиман
6950,UA14000000000091971,UA14160000000061982,UA14160150000038750,UA14160150030092191,"",C,Рівне
6951,UA14000000000091971,UA14160000000061982,UA14160150000038750,UA14160150040095779,"",C,Світле
6952,UA14000000000091971,UA14160000000061982,UA14160150000038750,UA14160150050026755,"",C,Сухецьке
6953,UA14000000000091971,UA14160000000061982,UA14160170000023385,"","",H,Новогродівська
6954,UA14000000000091971,UA14160000000061982,UA14160170000023385,UA14160170010061687,"",M,Новогродівка
6955,UA14000000000091971,UA14160000000061982,UA14160170000023385,UA14160170020039609,"",T,Комишівка
6956,UA14000000000091971,UA14160000000061982,UA14160170000023385,UA14160170030017951,"",C,Галицинівка
6957,UA14000000000091971,UA14160000000061982,UA14160170000023385,UA14160170040028969,"",C,Долинівка
6958,UA14000000000091971,UA14160000000061982,UA14160170000023385,UA14160170050042011,"",C,Завітне
6959,UA14000000000091971,UA14160000000061982,UA14160170000023385,UA14160170060039203,"",C,Калинове
6960,UA14000000000091971,UA14160000000061982,UA14160170000023385,UA14160170070034764,"",C,Карлівка
6961,UA14000000000091971,UA14160000000061982,UA14160170000023385,UA14160170080099199,"",C,Лісівка
6962,UA14000000000091971,UA14160000000061982,UA14160170000023385,UA14160170090030650,"",C,Маринівка
6963,UA14000000000091971,UA14160000000061982,UA14160170000023385,UA14160170100052886,"",C,Мемрик
6964,UA14000000000091971,UA14160000000061982,UA14160170000023385,UA14160170110064444,"",C,Миколаївка
6965,UA14000000000091971,UA14160000000061982,UA14160170000023385,UA14160170120032203,"",C,Михайлівка
6966,UA14000000000091971,UA14160000000061982,UA14160170000023385,UA14160170130089522,"",C,Новожеланне
6967,UA14000000000091971,UA14160000000061982,UA14160170000023385,UA14160170140036694,"",C,Орлівка
6968,UA14000000000091971,UA14160000000061982,UA14160170000023385,UA14160170150041655,"",X,Птиче
6969,UA14000000000091971,UA14160000000061982,UA14160190000059231,"","",H,Очеретинська
6970,UA14000000000091971,UA14160000000061982,UA14160190000059231,UA14160190010012632,"",T,Очеретине
6971,UA14000000000091971,UA14160000000061982,UA14160190000059231,UA14160190020024377,"",T,Верхньоторецьке
6972,UA14000000000091971,UA14160000000061982,UA14160190000059231,UA14160190030043446,"",T,Желанне
6973,UA14000000000091971,UA14160000000061982,UA14160190000059231,UA14160190040090584,"",T,Керамік
6974,UA14000000000091971,UA14160000000061982,UA14160190000059231,UA14160190050028850,"",C,Архангельське
6975,UA14000000000091971,UA14160000000061982,UA14160190000059231,UA14160190060085594,"",C,Бердичі
6976,UA14000000000091971,UA14160000000061982,UA14160190000059231,UA14160190070075424,"",C,Василівка
6977,UA14000000000091971,UA14160000000061982,UA14160190000059231,UA14160190080069313,"",C,Веселе
6978,UA14000000000091971,UA14160000000061982,UA14160190000059231,UA14160190090026182,"",C,Водяне
6979,UA14000000000091971,UA14160000000061982,UA14160190000059231,UA14160190100077522,"",C,Красногорівка
6980,UA14000000000091971,UA14160000000061982,UA14160190000059231,UA14160190110088973,"",C,Межове
6981,UA14000000000091971,UA14160000000061982,UA14160190000059231,UA14160190120067335,"",C,Нетайлове
6982,UA14000000000091971,UA14160000000061982,UA14160190000059231,UA14160190130054690,"",C,Новобахмутівка
